,year,항목,소계,수도권,충청권,호남권,대경권,동남권,강원권,1인,2인,3인,4인 이상,남성,여성,20대,30대,40대,50대,60대 이상,200만원 미만,200~400만원 미만,400~600만원 미만,600만원 이상
1,2021,가격이 비싸서,8.0,9.4,0.0,0.0,0.0,0.0,66.7,11.8,8.9,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,11.5,17.3,0.0,0.0,0.0
2,2021,가족의 식사는 직접  조리 (요리) 해야  한다고 생각해서,37.5,43.7,0.0,0.0,66.7,49.6,0.0,0.0,54.2,66.7,56.1,44.9,0.0,0.0,66.7,0.0,61.2,35.0,38.3,12.2,66.7,0.0
3,2021,맛이  없어서,7.0,7.7,0.0,0.0,33.3,0.0,33.3,6.6,5.9,17.1,0.0,8.4,0.0,0.0,0.0,0.0,0.0,10.1,5.3,5.2,3.2,0.0
4,2021,원재료의 원산지와 품질이 의심스러워서/ 믿음이 가지  않아서,18.0,16.0,24.5,0.0,0.0,41.9,0.0,19.8,18.5,16.2,10.6,17.3,22.0,0.0,0.0,33.3,21.5,16.7,11.6,35.5,20.0,0.0
5,2021,균형잡힌 영양섭취를 할 수 없을 것 같아서,4.4,0.0,29.9,0.0,0.0,0.0,0.0,5.3,5.7,0.0,0.0,3.1,11.0,0.0,0.0,0.0,0.0,6.3,4.3,14.6,0.0,0.0
6,2021,어떤  제품이 있는지 어디서 파는지 몰라서,4.3,5.5,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,28.1,5.1,0.0,0.0,0.0,0.0,14.6,2.9,10.2,0.0,10.1,0.0
7,2021,안전성(신선도 유통기한 등)이 염려되어서,13.0,12.8,21.1,0.0,0.0,0.0,0.0,29.0,6.8,0.0,0.0,11.1,22.3,0.0,33.3,66.7,0.0,7.1,4.3,31.0,0.0,0.0
8,2021,첨가물이 걱정 되어서,7.7,4.8,24.5,0.0,0.0,8.5,0.0,21.6,0.0,0.0,5.3,0.5,44.7,0.0,0.0,0.0,2.8,10.5,8.6,1.4,0.0,0.0
9,2021,제품이 다양하지 않아서,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2022,가격이 비싸서,18.6,18.0,20.5,10.2,21.2,23.2,15.8,24.9,16.2,16.8,17.3,17.5,21.3,21.8,18.9,19.3,19.6,16.9,25.1,22.1,16.8,13.8
12,2022,가족의 식사는 직접  조리 (요리) 해야  한다고 생각해서,17.5,18.6,19.0,15.5,15.0,16.6,16.4,11.9,18.3,20.1,19.9,19.2,13.4,12.3,15.4,21.1,14.2,19.7,21.8,14.0,20.4,17.8
13,2022,맛이  없어서,14.2,16.6,14.5,12.3,7.7,12.1,16.3,15.2,11.9,15.2,15.8,14.3,13.8,15.5,13.8,13.9,14.0,14.5,11.6,16.5,11.2,12.3
14,2022,원재료의 원산지와 품질이 의심스러워서/ 믿음이 가지  않아서,14.1,10.7,14.2,16.1,26.4,14.4,8.0,9.4,16.9,14.7,14.0,15.1,11.5,13.7,13.4,9.2,16.5,15.5,15.5,14.1,15.9,13.4
15,2022,균형잡힌 영양섭취를 할 수 없을 것 같아서,11.3,12.2,8.6,17.4,6.5,11.3,8.6,9.8,11.3,12.5,11.7,10.5,13.0,4.8,12.6,13.0,12.9,9.1,6.3,10.0,13.2,11.5
16,2022,어떤  제품이 있는지 어디서 파는지 몰라서,5.5,4.0,11.7,7.1,4.4,5.1,8.2,6.7,5.2,4.7,5.4,5.4,5.8,6.7,5.8,4.8,5.1,5.9,12.4,4.6,5.4,6.4
17,2022,안전성(신선도 유통기한 등)이 염려되어서,9.3,8.5,7.1,15.5,10.5,7.8,13.5,9.5,10.8,7.6,8.5,8.6,11.1,10.9,9.4,8.8,8.5,10.0,4.9,9.6,9.2,10.8
18,2022,첨가물이 걱정 되어서,5.5,6.2,1.3,5.0,7.0,4.2,10.2,7.9,4.7,5.6,3.9,5.1,6.4,13.8,6.5,6.8,4.1,4.1,1.5,6.1,4.3,8.7
19,2022,제품이 다양하지 않아서,3.1,3.7,3.2,0.9,1.3,4.2,3.1,3.1,3.7,2.6,2.7,3.4,2.4,0.5,3.6,3.1,3.6,2.9,0.9,2.8,3.3,2.9
20,2022,기타,0.9,1.5,0.0,0.0,0.0,1.1,0.0,1.4,1.0,0.2,0.7,0.8,1.1,0.0,0.4,0.0,1.5,1.3,0.0,0.2,0.3,2.4000000000000004
