행정구역별,합계,1인,2인,3인,4인이상,합계,1인,2인,3인,4인이상,합계,1인,2인,3인,4인이상,합계,2인,1인,4인이상,3인,합계,1인,2인,3인,4인이상
year,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
전국,19979188,5848594,5445691,4203792,4481111,20343188,6147516,5663330,4217736,4314606,20926710,6643354,5864525,4200629,4218202,21448463,6076549,7165788,4036170,4169956,21773507,7502350,6260692,4184540,3825925
읍부,1890366,539706,546685,384036,419939,1937519,563446,573991,390046,410036,2021664,620899,600001,394057,406707,2099836,630227,674454,397159,397996,2096426,694083,641497,391425,369421
면부,1971564,684456,697826,315230,274052,1968717,686531,711332,312768,258086,2008345,721965,730954,308394,247032,2025982,739397,762310,227926,296349,2035906,784909,748329,290732,211936
동부,16117258,4624432,4201180,3504526,3787120,16436952,4897539,4378007,3514922,3646484,16896701,5300490,4533570,3498178,3564463,17322645,4706925,5729024,3411085,3475611,17641175,6023358,4870866,3502383,3244568
서울특별시,3839766,1229421,977469,807545,825331,3896389,1299787,1005065,801819,789718,3982290,1390701,1033901,792690,764998,4046799,1056278,1489893,721473,779155,4098818,1564187,1076409,776479,681743
부산광역시,1363608,404408,390452,290198,278550,1377030,423227,400961,286644,266198,1405037,455207,411455,282233,256142,1431365,423973,487362,242705,277325,1447825,511745,434269,274463,227348
대구광역시,957516,269903,260091,208858,218664,968620,284416,267961,207953,208290,985816,304543,276237,205048,199988,1000931,282982,326866,189880,201203,1010834,341667,289778,200752,178637
인천광역시,1094749,275898,292339,252372,274140,1120576,297865,305688,253332,263691,1147200,324841,316387,251928,254044,1183610,332978,355657,243305,251670,1212731,376392,347241,255433,233665
광주광역시,578559,174614,150500,117002,136443,587159,182364,156984,117401,130410,599217,193948,162403,115978,126888,615693,167494,212385,121433,114381,623252,221464,172602,114340,114846
대전광역시,602175,195544,153135,120714,132782,609043,205165,158832,119508,125538,631208,228842,164795,116989,120582,640085,170037,240932,114023,115093,646474,249006,175151,115255,107062
울산광역시,431391,110236,114387,101535,105233,437094,116015,119926,100984,100169,444087,122848,123591,99739,97909,451432,127915,133061,92649,97807,453998,137096,132727,97651,86524
세종특별자치시,119029,35763,27998,24599,30669,129664,39078,31236,26828,32522,139106,43577,33204,28307,34018,145295,35376,45706,34853,29360,154019,50561,37708,30754,34996
경기도,4751497,1197586,1213259,1084338,1256314,4907660,1290893,1284977,1106151,1225639,5098431,1406010,1350139,1119823,1222459,5290662,1422997,1543100,1190724,1133841,5406963,1634147,1480862,1152760,1139194
강원도,628484,206295,193105,117713,111371,633942,208857,200035,117416,107634,661039,231371,206755,117504,105409,674728,213512,245012,100439,115765,684895,254441,219958,115248,95248
충청북도,640978,204109,183501,123042,130326,654713,215196,191655,123239,124623,678922,236208,198840,122347,121527,695611,207434,252251,115151,120775,704864,260948,214022,121056,108838
충청남도,851124,270497,247706,160052,172869,864102,280773,256360,160674,166295,892222,304973,264909,159754,162586,915634,274600,327432,155427,158175,931370,340741,284304,159362,146963
전라북도,732980,232587,220032,136476,143885,738307,238746,226681,135931,136949,755575,255269,233334,134414,132558,772471,239444,276153,125332,131542,777680,284613,245506,130358,117203
전라남도,737406,235062,240651,132049,129644,741026,238147,245725,132242,124912,761518,256633,251506,131372,122007,777358,258205,274108,116035,129010,784645,283429,262746,128459,110011
경상북도,1094534,353702,340340,207353,193139,1102934,360213,352260,206493,183968,1131819,388791,363061,202539,177428,1156645,373382,416697,168125,198441,1166306,430969,381459,196804,157074
경상남도,1306394,379719,372556,271707,282412,1321213,391421,387575,272119,270098,1350155,417737,399700,270061,262657,1378982,412850,450490,249340,266302,1392608,468772,425720,264918,233198
제주특별자치도,248998,73250,68170,48239,59339,253716,75353,71409,49002,57952,263068,81855,74308,49903,57002,271162,77092,88683,55276,50111,276225,92172,80230,50448,53375
